term_id	term_taxonomy_id	name	slug	description	parent	count
1967	1967	Cerna	cerna		0	1
378	378	certame	certame		0	0
1487	1487	Certame Manuel Murguia	certame-manuel-murguia		0	3
628	628	Cerzeda	cerzeda		0	0
1248	1248	Chao Rego	chao-rego		0	0
873	873	Charlie Hebdo	charlie-hebdo		0	0
1302	1302	Charo Lopes	charo-lopes		0	0
2081	2081	Chévere	chevere		0	1
1505	1505	Chico Buarque	chico-buarque		0	0
1139	1139	Chico César	chico-cesar		0	0
1095	1095	Chile	chile		0	0
864	864	China	china		0	0
1829	1829	Chiqui gongalez Lozano	chiqui-gongalez-lozano		0	1
1172	1172	Chove	chove		0	0
621	621	Chrys Chrystello	chrys-chrystello		0	0
905	905	Cicatriz	cicatriz		0	0
288	288	cidadania lusófona	cidadania-lusofona		0	2
1390	1390	cidles	cidles		0	0
908	908	Ciência e Lilás	ciencia-e-lilas		0	0
90	90	CIG	cig		0	0
297	297	CIG-Ensino	cig-ensino		0	0
2091	2091	Cilha Lourenço Módia	cilha-lourenco-modia		0	1
182	182	cinema	cinema		0	8
183	183	cinema brasileiro	cinema-brasileiro		0	0
1221	1221	cinema galego	cinema-galego		0	0
1228	1228	cinema português	cinema-portugues		0	0
1229	1229	Cineuropa 2015	cineuropa-2015		0	0
91	91	Ciranda	ciranda		0	30
203	203	Círculo Edições	circulo-edicoes		0	0
914	914	Ciutat Morta	ciutat-morta		0	0
1624	1624	Clara Gayo	clara-gayo		0	2
485	485	Clarice Lispector	clarice-lispector		0	0
900	900	Claudia Castro	claudia-castro		0	0
1580	1580	Claudinho Bonfim	claudinho-bonfim		0	0
639	639	CLPLP	clplp		0	0
124	124	clube	clube		0	0
1251	1251	clube a língua	clube-a-lingua		0	0
1234	1234	clube da língua	clube-da-lingua		0	4
1442	1442	Clube da Língua do IES Marco do Camballón de Vila de Cruzes	clube-da-lingua-do-ies-marco-do-camballon-de-vila-de-cruzes		0	2
1479	1479	CMUS Compostela	cmus-compostela		0	0
14	14	Coca	coca		0	0
691	691	Coimbra	coimbra		0	0
1793	1793	Coletivo O Sinhor Afranio	coletivo-o-sinhor-afranio		0	1
333	333	colóquio	coloquio		0	2
622	622	Colóquio da Lusofonia	coloquio-da-lusofonia		0	0
215	215	Colóquios da Lusofonia	coloquios-da-lusofonia		0	0
1017	1017	comarcas estremeiras	comarcas-estremeiras		0	0
1415	1415	Comba Campoy	comba-campoy		0	0
858	858	Comissão Promotora	comissao-promotora		0	0
1416	1416	Comissom de História da Gentalha do Pichel	comissom-de-historia-da-gentalha-do-pichel		0	0
1438	1438	Comissom de Língua da Gentalha do Pichel	comissom-de-lingua-da-gentalha-do-pichel		0	0
473	473	Comissom Lingüística	comissom-linguistica		0	8
2082	2082	Companhia de Teatro de Braga	companhia-de-teatro-de-braga		0	1
247	247	Compostela	compostela		0	0
1545	1545	Compostela Aberta	compostela-aberta		0	0
1449	1449	Compostela Colateral	compostela-colateral		0	0
1948	1948	Comunicado	comunicado		0	1
1289	1289	Concelho de Santiago	concelho-de-santiago		0	5
1312	1312	Concelho de Santiago de Compostela	concelho-de-santiago-de-compostela		0	5
937	937	Concelho de Teu	concelho-de-teu		0	0
235	235	concerto	concerto		0	0
585	585	Concha Rousia	concha-rousia		0	11
1548	1548	Concha Roussia	concha-roussia		0	2
137	137	concurso	concurso		0	15
586	586	Condado	condado		0	0
2049	2049	Condorcet	condorcet		0	1
1055	1055	confluência reintegracionista	confluencia-reintegracionista		0	0
289	289	Congresso	congresso		0	0
2103	2103	Congressos	congressos		0	1
1271	1271	conhecendo o Apalpador	conhecendo-o-apalpador		0	0
1117	1117	Conselho da AGAL	conselho-da-agal		0	0
733	733	Conselho da Cultura	conselho-da-cultura		0	0
1635	1635	Conselho da Cultura Galega	conselho-da-cultura-galega		0	0
1461	1461	Conselho Português para os Refugiados	conselho-portugues-para-os-refugiados		0	0
1564	1564	Consello da Cultura Galega	consello-da-cultura-galega		0	4
1703	1703	Consenso	consenso		0	0
71	71	conservatório	conservatorio		0	0
744	744	Constantino García	constantino-garcia		0	0
1278	1278	consultório	consultorio		0	0
1279	1279	consultório lingüístico	consultorio-linguistico		0	0
329	329	conto	conto		0	0
1643	1643	Contos de Terror	contos-de-terror		0	0
575	575	Contrapoder	contrapoder		0	0
1064	1064	Convénio	convenio		0	0
1991	1991	convergência21	convergencia21		0	1
119	119	conversas	conversas		0	0
265	265	Conversas com	conversas-com		0	0
319	319	Conversas com Isaac Alonso Estraviz	conversas-com-isaac-alonso-estraviz		0	0
1992	1992	Converxencia21	converxencia21		0	1
257	257	convívio	convivio		0	0
1048	1048	Convívio da Cultura Galega	convivio-da-cultura-galega		0	0
1077	1077	Cooperaçom Transfronteiriça	cooperacom-transfronteirica		0	0
360	360	Copa do Mundo	copa-do-mundo		0	0
1140	1140	CoraSons	corasons		0	0
646	646	córnico	cornico		0	0
647	647	Cornualha	cornualha		0	0
1397	1397	Córsega	corsega		0	0
78	78	Corunha	corunha		0	0
1581	1581	Cosmotrópicos	cosmotropicos		0	0
1236	1236	Costa Gavras	costa-gavras		0	0
20	20	Couto Misto	couto-misto		0	0
313	313	CPLP	cplp		0	15
698	698	Crebinsky	crebinsky		0	0
951	951	crianças	criancas		0	3
248	248	Cristiano Ronaldo	cristiano-ronaldo		0	0
762	762	Cristina Martínez Tejero	cristina-martinez-tejero		0	0
1598	1598	Crítica literária	critica-literaria		0	0
1121	1121	Crônicas de Educação	cronicas-de-educacao		0	0
1343	1343	Crónicas de Lisboa	cronicas-de-lisboa		0	0
255	255	crowdfunding	crowdfunding		0	0
1178	1178	crowfunding	crowfunding		0	0
491	491	CRTVG	crtvg		0	3
1549	1549	Cruz Martinez	cruz-martinez		0	0
1922	1922	CS Gomes Gaioso	cs-gomes-gaioso		0	1
1590	1590	CSOA Escárnio e Maldicir	csoa-escarnio-e-maldicir		0	0
465	465	Cuac	cuac		0	0
961	961	cultura	cultura		0	0
424	424	Cultura do País	cultura-do-pais		0	0
224	224	cultura popular	cultura-popular		0	0
1367	1367	Cultura que Une	cultura-que-une		0	0
815	815	Culturgal	culturgal		0	0
1266	1266	Culturgal 2015	culturgal-2015		0	0
1782	1782	Culturgal 2016	culturgal-2016		0	0
2135	2135	Culturgal 2017	culturgal-2017		0	1
1899	1899	cunhado da AGAL	cunhado-da-agal		0	1
1051	1051	Curdistão	curdistao		0	2
486	486	Curros Henriques	curros-henriques		0	0
129	129	curso	curso		0	0
1334	1334	Curso de Linguística Geral	curso-de-linguistica-geral		0	0
92	92	curso de português	curso-de-portugues		0	0
93	93	curso on-line	curso-on-line		0	0
3	3	cursos	cursos		0	0
1709	1709	Cursos 2016-17	cursos-2016-17		0	0
2051	2051	Cursos 2018	cursos-2018		0	1
1314	1314	cursos aPorto	cursos-aporto		0	0
1818	1818	Cursos de Língua Portuguesa Centro Camões	cursos-de-lingua-portuguesa-centro-camoes		0	2
1014	1014	Cursos LX	cursos-lx		0	0
1087	1087	CUT	cut		0	0
1697	1697	CXG	cxg		0	0
648	648	Cymru	cymru		0	0
2066	2066	D´ALEMBERT	dalembert		0	1
2028	2028	Da Galiza do Sul	da-galiza-do-sul		0	1
1865	1865	Da identidade à norma	da-identidade-a-norma		0	1
978	978	Da Vida Conclusa	da-vida-conclusa		0	0
1482	1482	dandismo	dandismo		0	0
1489	1489	Dani Salgado	dani-salgado		0	0
1881	1881	Daniel Amarelo	daniel-amarelo		0	1
670	670	Daniel Cao	daniel-cao		0	0
1621	1621	Daniel Fonterosa	daniel-fonterosa		0	0
2050	2050	Danton	danton		0	1
1677	1677	Darcy Ribeiro	darcy-ribeiro		0	0
605	605	Dario Ribas	dario-ribas		0	0
606	606	Dario Rivas	dario-rivas		0	0
1378	1378	Das Crónicas do Quotidiano Inutil	das-cronicas-do-quotidiano-inutil		0	0
1646	1646	David “Chim” Seymour”	david-chim-seymour		0	0
1108	1108	David Álvarez	david-alvarez		0	3
1354	1354	David Anisi	david-anisi		0	0
1057	1057	David Cortiço	david-cortico		0	0
1126	1126	David Fontán	david-fontan		0	0
1318	1318	David Vila	david-vila		0	4
1633	1633	Davide Salvado	davide-salvado		0	2
278	278	DdoOLeR	ddooler		0	0
1540	1540	DdoOLeR 2016	ddooler-2016		0	0
714	714	DdoONF	ddoonf		0	0
41	41	de olho	de-olho		0	507
1541	1541	de olhol	de-olhol		0	0
1346	1346	de olhom	de-olhom		0	0
1468	1468	De volta para Loureda	de-volta-para-loureda		0	0
466	466	debate	debate		0	2
1591	1591	Débora Domínguez	debora-dominguez		0	0
1698	1698	decálogo da AGAL	decalogo-da-agal		0	0
1096	1096	Décio Pignatari	decio-pignatari		0	0
1247	1247	decretaço	decretaco		0	0
450	450	Decreto Filgueira	decreto-filgueira		0	0
994	994	Decreto Filguera	decreto-filguera		0	0
